0
Wort der Anerkennung
zu benehmen wissen
Anhebung der Bezug
Jahr der Ausbildung
Lehr und Wanderjahre
Zeit der Ausbildung
der heiß scheißen
Ausstattung mit Privileg
Gefühl der Befreiung
Geld und Gut
haben und Gut
Einhaltung der   Regel
Zucht und Ordnung
Gefühl der Befreiung
Stab und Stütze
Gefühl der Befreiung
durchfahren der Gedanke
Gefühl der Befreiung
Kenner der Materie
von hoch Grad
Meister aller Klasse
Meister sein Fach
Einschätzung eines Fachmann
gehen nichts über
Leib und Magen
hart wie Beton
hart wie Kruppstahl
Schritt nach vorne
Mann ihr Herzen
darauf aus sein
das Ziel verfolgen
es anlegen auf
im Schild führen
im Sinn haben
zum Ziel setzen
auf Gegenliebe stoßen
auf Resonanz stoßen
auf Sympathie stoßen
auf Zustimmung treffen
freundlich aufnehmen werden
positiv aufnehmen werden
den Heldentod sterben
Gefallen finden an
Schwäche haben für
auf jemanden stehen
haben uns verlassen
nicht mehr sein
tot und begraben
von uns gehen
Weg vom Fenster
Leib und Leben
Glanz und Gloria
Prunk und Pomp
Prunk und Pracht
Prunk und Protz
Fügung des Schicksal
Geschenk der Gott
Gut des Schicksal
Geschenk des Himmel
Fügung des Schicksal
Geschenk der Gott
Gut des Schicksal
Geschenk des Himmel
kein Unbekannte sein
man kennen jemanden
Freund und Förderer
ganz groß Klasse
von außerordentlich Qualität
zum Sterben schön
ganz groß Kino
nicht zu fassen
nicht zu toppen
Wucht in Tüte
Prunk und Pomp
Prunk und Pracht
Prunk und Protz
Glanz und Gloria
Stab und Stütze
zu benehmen wissen
mein zweiter Vorname
ein Hoch auf
ein Lob dem
ein Lob der
Holla die Waldfee
Stab und Stütze
ein Lächeln kosten
Wort der Anerkennung
Ende der Fahnenstange
Gunst der Stunde
für sich nutzen
zu nutzen machen
zu nutzen verstehen
einer Sache bedienen
in Gebrauch nehmen
zum Einsatz bringen
zu Hilfe kommen
Sinn und Zweck
Sinn der Sache
beim Schopf ergreifen
nicht verstreichen lassen
beim Schopf packen
in Anspruch nehmen
in der Umgebung
auf den Fuß
